site,depth_interval,interpretation_model,parameter,apparent_estimate,corrected_median,interval_p05,interval_p95,correction_factor_p50,correction_factor_p05,correction_factor_p95,reliability_class,design_reference_factor,warning_flag,calibration_source,calibration_domain,calibration_version,mesh_gate_status,numerical_stability_status
Fukuoka,FUKUOKA_WHOLE,LT-ILS,lambda,2.595051831897016,2.262825065729342,1.79016810293647,2.8619124786110994,0.8719768283299327,0.6898390548245175,1.1028344187325942,C,1.449613490286342,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
Fukuoka,FUKUOKA_WHOLE,ILS,lambda,2.469449302394481,2.14051298148747,1.6743672852423908,2.7089779079544902,0.8667977023913549,0.6780326624316014,1.0969967698173646,C,1.4748552030129936,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
Fukuoka,FUKUOKA_WHOLE,ICS,lambda,2.301483609914424,2.2072706158666486,1.7111678620151376,2.862935897776576,0.9590642342000956,0.7435064297845527,1.2439523294641357,C,1.3449782812097157,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
Fukuoka,FUKUOKA_WHOLE,FLS,lambda,2.4479796143889256,2.13459481604841,1.6690907444576997,2.7003560217132603,0.8719822679492599,0.6818237924233469,1.103095796158145,C,1.4666545977308698,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
Fukuoka,FUKUOKA_WHOLE,ICS,C,800000.001039992,1586842.6355118258,1277347.4881672892,2051108.6567912952,1.983553291811183,1.5966843581334378,2.563885817656093,C,1.2925721876194254,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
Fukuoka,FUKUOKA_WHOLE,ICS,alpha,2.8768545086e-06,1.3909826761832183e-06,8.3426485297002e-07,2.241313287296133e-06,0.4835081760391594,0.2899920209645947,0.7790846845386183,C,1.6673154469246283,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
