site,depth_interval,interpretation_model,parameter,apparent_estimate,corrected_median,interval_p05,interval_p95,correction_factor_p50,correction_factor_p05,correction_factor_p95,reliability_class,design_reference_factor,warning_flag,calibration_source,calibration_domain,calibration_version,mesh_gate_status,numerical_stability_status
NTU,NTU0409_Z001,LT-ILS,lambda,1.3356,1.164612251917458,0.9213490416236254,1.4729456496592528,0.8719768283299327,0.6898390548245175,1.1028344187325942,A,1.449613490286342,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
NTU,NTU0409_Z001,ILS,lambda,1.284,1.1129682498704998,0.8705939385621763,1.4085438524454963,0.8667977023913549,0.6780326624316014,1.0969967698173646,A,1.4748552030129936,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
NTU,NTU0409_Z001,ICS,lambda,1.21,1.1604677233821157,0.8996427800393088,1.5051823186516042,0.9590642342000956,0.7435064297845527,1.2439523294641357,A,1.3449782812097157,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
NTU,NTU0409_Z001,FLS,lambda,1.26,1.0986976576160674,0.8590979784534171,1.3899007031592625,0.8719822679492599,0.6818237924233469,1.103095796158145,A,1.4666545977308698,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
NTU,NTU0409_Z001,ICS,C,2400000.0,4760527.900346839,3832042.4595202506,6153325.962374623,1.983553291811183,1.5966843581334378,2.563885817656093,A,1.2925721876194254,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
NTU,NTU0409_Z001,ICS,alpha,5e-07,2.417540880195797e-07,1.4499601048229735e-07,3.8954234226930915e-07,0.4835081760391594,0.2899920209645947,0.7790846845386183,A,1.6673154469246283,,C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\期刊論文\TRUST_TC_public_tool_repo\src\trust_tc\calibration\full3d_production_correction_factor_distribution.csv,full_3d_production,full3d-production-v1,passed,passed
