truth_type,calibration_domain,pathway_id,interpretation_model,n,failure_rate,boundary_hit_rate,p05_factor_lambda,p50_factor_lambda,p95_factor_lambda,mean_delta_lambda,sd_delta_lambda,p05_factor_C,p50_factor_C,p95_factor_C,mean_delta_C,sd_delta_C,p05_factor_alpha,p50_factor_alpha,p95_factor_alpha,mean_delta_alpha,sd_delta_alpha,recommended_reliability_class_candidate,mesh_id,mesh_gate_status,mesh_gate_source,numerical_stability_status,calibration_version,production_scale_status,requested_realizations_per_stress,realizations_per_stress
F3D,full_3d_production,A0,LT-ILS,252,0.0,0.0,0.6898390548245175,0.8719768283299327,1.1028344187325942,0.1493200810180325,0.1746387351255391,,,,,,,,,,,B,full3d_r12_theta48_z12,passed,outputs/full3d_recalibrated/full3d_mesh_gate_decision.csv,passed,full3d-production-v1,checkpointed,60,3
F3D,full_3d_production,A1,ILS,252,0.0,0.0,0.6780326624316014,0.8667977023913549,1.0969967698173646,0.15691227918826403,0.17718565840490672,0.8153970349337261,1.059946662384756,1.466562454774469,-0.060455254603515717,0.14918432064747414,0.7024896503290466,0.8066493548889337,0.9075193285228201,0.21736753379177978,0.08227308938425754,B,full3d_r12_theta48_z12,passed,outputs/full3d_recalibrated/full3d_mesh_gate_decision.csv,passed,full3d-production-v1,checkpointed,60,3
F3D,full_3d_production,A2,ICS,252,0.0,0.03571428571428571,0.7435064297845527,0.9590642342000957,1.2439523294641355,0.05276443224994338,0.19042556579520664,1.5966843581334378,1.9835532918111827,2.5638858176560935,-0.6831910281508142,0.12721510142795522,0.3379854764932475,0.4811816115258639,0.5904105953550731,0.7359554604007575,0.18212374270696158,B,full3d_r12_theta48_z12,passed,outputs/full3d_recalibrated/full3d_mesh_gate_decision.csv,passed,full3d-production-v1,checkpointed,60,3
F3D,full_3d_production,A3,FLS,252,0.0,0.0,0.6818237924233469,0.8719822679492599,1.103095796158145,0.15130058837776558,0.17750178599042074,0.8299990720709559,1.0706452684556935,1.4627597425237027,-0.06690175680640208,0.14434701626399013,0.6945609232114388,0.8072546519094843,0.9013466048160709,0.21820234518416765,0.0844222084512654,B,full3d_r12_theta48_z12,passed,outputs/full3d_recalibrated/full3d_mesh_gate_decision.csv,passed,full3d-production-v1,checkpointed,60,3
